       time            m1           m2           x1           y1           z1           x2           y2           z2   separation  CE+ejecta_m  semimajor_a eccentricity   unbound_m         spin1        spin2  orb._period       spin1z       spin2z           I1           I2        mgas1        mgas2      cs1_avg      cs2_avg      cs1_rms      cs2_rms       Omega1       Omega2        rdisk        hdisk       v1_inf       v2_inf
 0.60999D+02   1.000000       10.00000       78.361       30.910     -0.11991E-02  -7.8361      -3.0910     -0.16769E-05   92.661       0.0000     -0.10260E+09   1.0000       0.0000      0.33470E-08   0.0000              NaN  0.28049E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.36963E-08          NaN          NaN          NaN  0.29766E-03  0.29766E-04
 0.61249D+02   1.000000       10.00000       78.253       30.890     -0.11990E-02  -7.8253      -3.0889     -0.16926E-05   92.541       0.0000     -0.10262E+09   1.0000       0.0000      0.38095E-08   0.0000              NaN  0.63028E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.83058E-08          NaN          NaN          NaN  0.29763E-03  0.29764E-04
 0.61501D+02   1.000000       10.00000       78.142       30.869     -0.11988E-02  -7.8143      -3.0868     -0.17087E-05   92.420       0.0000     -0.10265E+09   1.0000       0.0000      0.41420E-08   0.0000              NaN  0.77899E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.10265E-07          NaN          NaN     Infinity  0.29760E-03  0.29760E-04
 0.61751D+02   1.000000       10.00000       78.034       30.848     -0.11987E-02  -7.8034      -3.0847     -0.17246E-05   92.301       0.0000     -0.10267E+09   1.0000       0.0000      0.45463E-08   0.0000              NaN  0.98876E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.13030E-07          NaN          NaN          NaN  0.29757E-03  0.29757E-04
 0.62001D+02   1.000000       10.00000       77.925       30.827     -0.11985E-02  -7.7925      -3.0826     -0.17407E-05   92.181       0.0000     -0.10268E+09   1.0000       0.0000      0.51670E-08   0.0000              NaN  0.12873E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.16964E-07          NaN          NaN          NaN  0.29756E-03  0.29756E-04
 0.62251D+02   1.000000       10.00000       77.816       30.806     -0.11983E-02  -7.7816      -3.0806     -0.17568E-05   92.061       0.0000     -0.10267E+09   1.0000       0.0000      0.42969E-08   0.0000              NaN  0.25266E-10   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.33295E-09          NaN          NaN          NaN  0.29756E-03  0.29757E-04
 0.62501D+02   1.000000       10.00000       77.707       30.786     -0.11982E-02  -7.7707      -3.0785     -0.17731E-05   91.941       0.0000     -0.10266E+09   1.0000       0.0000      0.44627E-08   0.0000              NaN -0.13610E-09   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.17935E-08   0.0000         Infinity          NaN  0.29757E-03  0.29757E-04
 0.62750D+02   1.000000       10.00000       77.597       30.765     -0.11980E-02  -7.7598      -3.0764     -0.17894E-05   91.821       0.0000     -0.10267E+09   1.0000       0.0000      0.45986E-08   0.0000              NaN  0.41801E-10   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.55085E-09   0.0000         Infinity          NaN  0.29757E-03  0.29757E-04
 0.63000D+02   1.000000       10.00000       77.488       30.744     -0.11979E-02  -7.7488      -3.0743     -0.18058E-05   91.701       0.0000     -0.10268E+09   1.0000       0.0000      0.49602E-08   0.0000              NaN -0.92203E-10   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.12150E-08   0.0000         Infinity          NaN  0.29755E-03  0.29755E-04
 0.63250D+02   1.000000       10.00000       77.379       30.723     -0.11977E-02  -7.7379      -3.0722     -0.18223E-05   91.581       0.0000     -0.10271E+09   1.0000       0.0000      0.47210E-08   0.0000              NaN -0.53541E-09   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.70556E-08   0.0000         Infinity          NaN  0.29751E-03  0.29751E-04
 0.63500D+02   1.000000       10.00000       77.270       30.702     -0.11975E-02  -7.7270      -3.0701     -0.18390E-05   91.460       0.0000     -0.10273E+09   1.0000       0.0000      0.48474E-08   0.0000              NaN -0.10227E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.13477E-07          NaN          NaN     Infinity  0.29747E-03  0.29747E-04
 0.63750D+02   1.000000       10.00000       77.160       30.681     -0.11974E-02  -7.7160      -3.0680     -0.18557E-05   91.340       0.0000     -0.10276E+09   1.0000       0.0000      0.46692E-08   0.0000              NaN -0.10143E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.13366E-07          NaN          NaN          NaN  0.29744E-03  0.29744E-04
 0.63999D+02   1.000000       10.00000       77.051       30.660     -0.11972E-02  -7.7051      -3.0659     -0.18725E-05   91.219       0.0000     -0.10278E+09   1.0000       0.0000      0.47555E-08   0.0000              NaN -0.90660E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.11947E-07          NaN          NaN          NaN  0.29741E-03  0.29741E-04
 0.64249D+02   1.000000       10.00000       76.941       30.639     -0.11970E-02  -7.6941      -3.0638     -0.18894E-05   91.099       0.0000     -0.10280E+09   1.0000       0.0000      0.47592E-08   0.0000              NaN -0.67542E-09   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.89006E-08   0.0000         Infinity          NaN  0.29737E-03  0.29737E-04
 0.64499D+02   1.000000       10.00000       76.831       30.618     -0.11969E-02  -7.6832      -3.0617     -0.19064E-05   90.978       0.0000     -0.10283E+09   1.0000       0.0000      0.42174E-08   0.0000              NaN -0.66212E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.87253E-08          NaN          NaN          NaN  0.29733E-03  0.29734E-04
 0.64749D+02   1.000000       10.00000       76.722       30.597     -0.11967E-02  -7.6722      -3.0596     -0.19236E-05   90.858       0.0000     -0.10285E+09   1.0000       0.0000      0.31154E-08   0.0000              NaN -0.15623E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.20588E-07          NaN          NaN          NaN  0.29730E-03  0.29730E-04
 0.65001D+02   1.000000       10.00000       76.611       30.576     -0.11965E-02  -7.6611      -3.0575     -0.19410E-05   90.736       0.0000     -0.10288E+09   1.0000       0.0000      0.35100E-08   0.0000              NaN -0.14239E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.18764E-07   0.0000         Infinity          NaN  0.29727E-03  0.29727E-04
 0.65251D+02   1.000000       10.00000       76.501       30.555     -0.11963E-02  -7.6501      -3.0554     -0.19583E-05   90.615       0.0000     -0.10290E+09   1.0000       0.0000      0.37706E-08   0.0000              NaN -0.17738E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.23375E-07          NaN          NaN          NaN  0.29724E-03  0.29724E-04
 0.65501D+02   1.000000       10.00000       76.391       30.533     -0.11962E-02  -7.6391      -3.0533     -0.19757E-05   90.494       0.0000     -0.10291E+09   1.0000       0.0000      0.40384E-08   0.0000              NaN -0.24187E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.31874E-07          NaN          NaN          NaN  0.29721E-03  0.29721E-04
 0.65751D+02   1.000000       10.00000       76.281       30.512     -0.11960E-02  -7.6281      -3.0512     -0.19932E-05   90.373       0.0000     -0.10293E+09   1.0000       0.0000      0.41679E-08   0.0000              NaN -0.24804E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.32687E-07   0.0000         Infinity          NaN  0.29719E-03  0.29719E-04
 0.66001D+02   1.000000       10.00000       76.171       30.491     -0.11958E-02  -7.6171      -3.0490     -0.20108E-05   90.252       0.0000     -0.10294E+09   1.0000       0.0000      0.47371E-08   0.0000              NaN -0.30323E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.39960E-07          NaN          NaN          NaN  0.29718E-03  0.29718E-04
 0.66250D+02   1.000000       10.00000       76.061       30.470     -0.11956E-02  -7.6061      -3.0469     -0.20286E-05   90.131       0.0000     -0.10295E+09   1.0000       0.0000      0.47607E-08   0.0000              NaN -0.32486E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.42810E-07   0.0000         Infinity          NaN  0.29716E-03  0.29717E-04
 0.66500D+02   1.000000       10.00000       75.951       30.449     -0.11955E-02  -7.5951      -3.0448     -0.20464E-05   90.009       0.0000     -0.10295E+09   1.0000       0.0000      0.48340E-08   0.0000              NaN -0.30273E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.39893E-07   0.0000         Infinity          NaN  0.29715E-03  0.29716E-04
 0.66750D+02   1.000000       10.00000       75.840       30.427     -0.11953E-02  -7.5840      -3.0427     -0.20643E-05   89.888       0.0000     -0.10296E+09   1.0000       0.0000      0.48446E-08   0.0000              NaN -0.28278E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.37264E-07          NaN          NaN          NaN  0.29714E-03  0.29715E-04
 0.67000D+02   1.000000       10.00000       75.730       30.406     -0.11951E-02  -7.5730      -3.0405     -0.20823E-05   89.767       0.0000     -0.10297E+09   1.0000       0.0000      0.46569E-08   0.0000              NaN -0.20080E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.26461E-07   0.0000         Infinity          NaN  0.29713E-03  0.29714E-04
 0.67250D+02   1.000000       10.00000       75.620       30.385     -0.11949E-02  -7.5620      -3.0384     -0.21005E-05   89.645       0.0000     -0.10298E+09   1.0000       0.0000      0.32129E-08   0.0000              NaN -0.83348E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.10983E-07          NaN          NaN          NaN  0.29712E-03  0.29712E-04
 0.67499D+02   1.000000       10.00000       75.509       30.363     -0.11947E-02  -7.5509      -3.0362     -0.21187E-05   89.524       0.0000     -0.10300E+09   1.0000       0.0000      0.33545E-08   0.0000              NaN -0.97041E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.12788E-07          NaN          NaN          NaN  0.29709E-03  0.29710E-04
 0.67749D+02   1.000000       10.00000       75.398       30.342     -0.11945E-02  -7.5399      -3.0341     -0.21370E-05   89.402       0.0000     -0.10301E+09   1.0000       0.0000      0.34993E-08   0.0000              NaN -0.83688E-09   0.0000      0.75884E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.11028E-07          NaN          NaN          NaN  0.29707E-03  0.29707E-04
 0.67999D+02   1.000000       10.00000       75.288       30.320     -0.11944E-02  -7.5288      -3.0320     -0.21555E-05   89.280       0.0000     -0.10303E+09   1.0000       0.0000      0.33725E-08   0.0000              NaN -0.59373E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.78242E-08          NaN          NaN          NaN  0.29705E-03  0.29705E-04
 0.68249D+02   1.000000       10.00000       75.177       30.299     -0.11942E-02  -7.5177      -3.0298     -0.21740E-05   89.159       0.0000     -0.10303E+09   1.0000       0.0000      0.31384E-08   0.0000              NaN  0.29441E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.38797E-08          NaN          NaN          NaN  0.29704E-03  0.29704E-04
 0.68499D+02   1.000000       10.00000       75.066       30.277     -0.11940E-02  -7.5067      -3.0277     -0.21927E-05   89.037       0.0000     -0.10304E+09   1.0000       0.0000      0.29603E-08   0.0000              NaN  0.66958E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.88236E-08          NaN          NaN          NaN  0.29703E-03  0.29704E-04
 0.68751D+02   1.000000       10.00000       74.954       30.256     -0.11938E-02  -7.4954      -3.0255     -0.22116E-05   88.913       0.0000     -0.10304E+09   1.0000       0.0000      0.30426E-08   0.0000              NaN  0.21212E-10   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.27953E-09          NaN          NaN          NaN  0.29703E-03  0.29703E-04
 0.69001D+02   1.000000       10.00000       74.843       30.234     -0.11936E-02  -7.4844      -3.0233     -0.22305E-05   88.791       0.0000     -0.10304E+09   1.0000       0.0000      0.33955E-08   0.0000              NaN  0.43203E-10   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.56933E-09   0.0000         Infinity          NaN  0.29703E-03  0.29704E-04
 0.69251D+02   1.000000       10.00000       74.732       30.213     -0.11934E-02  -7.4733      -3.0212     -0.22495E-05   88.669       0.0000     -0.10303E+09   1.0000       0.0000      0.33079E-08   0.0000              NaN  0.31372E-09   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.41341E-08   0.0000         Infinity          NaN  0.29704E-03  0.29704E-04
 0.69501D+02   1.000000       10.00000       74.621       30.191     -0.11932E-02  -7.4621      -3.0190     -0.22685E-05   88.547       0.0000     -0.10302E+09   1.0000       0.0000      0.30697E-08   0.0000              NaN  0.15417E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.20316E-07          NaN          NaN          NaN  0.29706E-03  0.29706E-04
 0.69750D+02   1.000000       10.00000       74.510       30.169     -0.11930E-02  -7.4510      -3.0169     -0.22877E-05   88.425       0.0000     -0.10301E+09   1.0000       0.0000      0.23535E-08   0.0000              NaN  0.13059E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.17209E-07          NaN          NaN          NaN  0.29707E-03  0.29707E-04
 0.70000D+02   1.000000       10.00000       74.399       30.148     -0.11928E-02  -7.4399      -3.0147     -0.23070E-05   88.302       0.0000     -0.10301E+09   1.0000       0.0000      0.24121E-08   0.0000              NaN  0.12424E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.16373E-07          NaN          NaN          NaN  0.29708E-03  0.29708E-04
 0.70250D+02   1.000000       10.00000       74.288       30.126     -0.11927E-02  -7.4288      -3.0125     -0.23264E-05   88.180       0.0000     -0.10300E+09   1.0000       0.0000      0.31991E-08   0.0000              NaN  0.17551E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.23129E-07   0.0000         Infinity          NaN  0.29709E-03  0.29710E-04
 0.70500D+02   1.000000       10.00000       74.176       30.104     -0.11925E-02  -7.4176      -3.0103     -0.23459E-05   88.058       0.0000     -0.10298E+09   1.0000       0.0000      0.33650E-08   0.0000              NaN  0.20373E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.26848E-07   0.0000         Infinity          NaN  0.29711E-03  0.29711E-04
 0.70750D+02   1.000000       10.00000       74.065       30.082     -0.11923E-02  -7.4065      -3.0082     -0.23655E-05   87.935       0.0000     -0.10298E+09   1.0000       0.0000      0.37297E-08   0.0000              NaN  0.19072E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.25133E-07   0.0000         Infinity          NaN  0.29712E-03  0.29712E-04
 0.70999D+02   1.000000       10.00000       73.953       30.061     -0.11921E-02  -7.3953      -3.0060     -0.23852E-05   87.812       0.0000     -0.10297E+09   1.0000       0.0000      0.38133E-08   0.0000              NaN  0.20512E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.27031E-07   0.0000         Infinity          NaN  0.29713E-03  0.29713E-04
 0.71249D+02   1.000000       10.00000       73.842       30.039     -0.11919E-02  -7.3842      -3.0038     -0.24051E-05   87.690       0.0000     -0.10298E+09   1.0000       0.0000      0.40082E-08   0.0000              NaN  0.20127E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.26524E-07          NaN          NaN          NaN  0.29712E-03  0.29712E-04
 0.71499D+02   1.000000       10.00000       73.730       30.017     -0.11917E-02  -7.3730      -3.0016     -0.24250E-05   87.567       0.0000     -0.10299E+09   1.0000       0.0000      0.43046E-08   0.0000              NaN  0.19893E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.26215E-07          NaN          NaN          NaN  0.29710E-03  0.29711E-04
 0.71749D+02   1.000000       10.00000       73.618       29.995     -0.11915E-02  -7.3618      -2.9994     -0.24451E-05   87.444       0.0000     -0.10301E+09   1.0000       0.0000      0.37837E-08   0.0000              NaN  0.12365E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.16295E-07          NaN          NaN          NaN  0.29707E-03  0.29707E-04
 0.71999D+02   1.000000       10.00000       73.506       29.973     -0.11913E-02  -7.3507      -2.9972     -0.24652E-05   87.321       0.0000     -0.10303E+09   1.0000       0.0000      0.47518E-08   0.0000              NaN  0.13588E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.17906E-07   0.0000         Infinity          NaN  0.29704E-03  0.29704E-04
 0.72251D+02   1.000000       10.00000       73.393       29.951     -0.11911E-02  -7.3393      -2.9950     -0.24857E-05   87.196       0.0000     -0.10305E+09   1.0000       0.0000      0.45279E-08   0.0000              NaN  0.12907E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.17009E-07   0.0000         Infinity          NaN  0.29701E-03  0.29702E-04
 0.72501D+02   1.000000       10.00000       73.281       29.929     -0.11909E-02  -7.3281      -2.9928     -0.25061E-05   87.073       0.0000     -0.10306E+09   1.0000       0.0000      0.52332E-08   0.0000              NaN  0.19265E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.25387E-07          NaN          NaN          NaN  0.29699E-03  0.29700E-04
 0.72751D+02   1.000000       10.00000       73.169       29.907     -0.11907E-02  -7.3169      -2.9906     -0.25266E-05   86.950       0.0000     -0.10308E+09   1.0000       0.0000      0.53298E-08   0.0000              NaN  0.17910E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.23602E-07          NaN          NaN          NaN  0.29698E-03  0.29698E-04
 0.73001D+02   1.000000       10.00000       73.057       29.885     -0.11904E-02  -7.3057      -2.9884     -0.25472E-05   86.827       0.0000     -0.10308E+09   1.0000       0.0000      0.53195E-08   0.0000              NaN  0.23169E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.30531E-07          NaN          NaN          NaN  0.29697E-03  0.29697E-04
 0.73250D+02   1.000000       10.00000       72.945       29.863     -0.11902E-02  -7.2945      -2.9862     -0.25680E-05   86.703       0.0000     -0.10309E+09   1.0000       0.0000      0.54930E-08   0.0000              NaN  0.22959E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.30255E-07          NaN          NaN          NaN  0.29695E-03  0.29696E-04
 0.73500D+02   1.000000       10.00000       72.833       29.841     -0.11900E-02  -7.2833      -2.9840     -0.25888E-05   86.580       0.0000     -0.10310E+09   1.0000       0.0000      0.55678E-08   0.0000              NaN  0.26697E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.35181E-07   0.0000         Infinity          NaN  0.29694E-03  0.29694E-04
 0.73750D+02   1.000000       10.00000       72.720       29.819     -0.11898E-02  -7.2720      -2.9818     -0.26098E-05   86.456       0.0000     -0.10311E+09   1.0000       0.0000      0.55146E-08   0.0000              NaN  0.23664E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.31184E-07   0.0000         Infinity          NaN  0.29693E-03  0.29693E-04
 0.74000D+02   1.000000       10.00000       72.608       29.797     -0.11896E-02  -7.2608      -2.9796     -0.26308E-05   86.332       0.0000     -0.10312E+09   1.0000       0.0000      0.54773E-08   0.0000              NaN  0.21317E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.28092E-07   0.0000         Infinity          NaN  0.29692E-03  0.29692E-04
 0.74250D+02   1.000000       10.00000       72.495       29.774     -0.11894E-02  -7.2496      -2.9774     -0.26520E-05   86.209       0.0000     -0.10313E+09   1.0000       0.0000      0.47156E-08   0.0000              NaN  0.18214E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.24002E-07          NaN          NaN          NaN  0.29691E-03  0.29691E-04
 0.74500D+02   1.000000       10.00000       72.383       29.752     -0.11892E-02  -7.2383      -2.9751     -0.26733E-05   86.085       0.0000     -0.10313E+09   1.0000       0.0000      0.46994E-08   0.0000              NaN  0.22257E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.29329E-07   0.0000         Infinity          NaN  0.29690E-03  0.29690E-04
 0.74749D+02   1.000000       10.00000       72.270       29.730     -0.11890E-02  -7.2270      -2.9729     -0.26947E-05   85.961       0.0000     -0.10314E+09   1.0000       0.0000      0.48270E-08   0.0000              NaN  0.23770E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.31324E-07   0.0000         Infinity          NaN  0.29689E-03  0.29689E-04
 0.74999D+02   1.000000       10.00000       72.157       29.708     -0.11888E-02  -7.2158      -2.9707     -0.27163E-05   85.837       0.0000     -0.10315E+09   1.0000       0.0000      0.46071E-08   0.0000              NaN  0.23365E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.30789E-07          NaN          NaN          NaN  0.29688E-03  0.29688E-04
 0.75249D+02   1.000000       10.00000       72.045       29.685     -0.11885E-02  -7.2045      -2.9684     -0.27379E-05   85.713       0.0000     -0.10315E+09   1.0000       0.0000      0.46976E-08   0.0000              NaN  0.23906E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.31503E-07   0.0000         Infinity          NaN  0.29687E-03  0.29687E-04
 0.75499D+02   1.000000       10.00000       71.932       29.663     -0.11883E-02  -7.1932      -2.9662     -0.27597E-05   85.588       0.0000     -0.10315E+09   1.0000       0.0000      0.46184E-08   0.0000              NaN  0.25877E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.34100E-07          NaN          NaN          NaN  0.29687E-03  0.29687E-04
 0.75751D+02   1.000000       10.00000       71.817       29.640     -0.11881E-02  -7.1818      -2.9639     -0.27818E-05   85.463       0.0000     -0.10316E+09   1.0000       0.0000      0.45390E-08   0.0000              NaN  0.27508E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.36250E-07   0.0000         Infinity          NaN  0.29686E-03  0.29687E-04
 0.76001D+02   1.000000       10.00000       71.704       29.618     -0.11879E-02  -7.1704      -2.9617     -0.28038E-05   85.338       0.0000     -0.10316E+09   1.0000       0.0000      0.44055E-08   0.0000              NaN  0.24792E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.32670E-07          NaN          NaN          NaN  0.29686E-03  0.29686E-04
 0.76251D+02   1.000000       10.00000       71.591       29.595     -0.11877E-02  -7.1591      -2.9595     -0.28260E-05   85.214       0.0000     -0.10316E+09   1.0000       0.0000      0.43530E-08   0.0000              NaN  0.31277E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.41216E-07          NaN          NaN          NaN  0.29686E-03  0.29686E-04
 0.76501D+02   1.000000       10.00000       71.478       29.573     -0.11874E-02  -7.1478      -2.9572     -0.28482E-05   85.089       0.0000     -0.10316E+09   1.0000       0.0000      0.58776E-08   0.0000              NaN  0.45106E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.59440E-07   0.0000         Infinity          NaN  0.29686E-03  0.29686E-04
 0.76751D+02   1.000000       10.00000       71.365       29.550     -0.11872E-02  -7.1365      -2.9550     -0.28706E-05   84.965       0.0000     -0.10316E+09   1.0000       0.0000      0.54330E-08   0.0000              NaN  0.40774E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.53731E-07   0.0000         Infinity          NaN  0.29686E-03  0.29686E-04
 0.77000D+02   1.000000       10.00000       71.251       29.528     -0.11870E-02  -7.1251      -2.9527     -0.28930E-05   84.840       0.0000     -0.10315E+09   1.0000       0.0000      0.57804E-08   0.0000              NaN  0.45605E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.60097E-07          NaN          NaN          NaN  0.29687E-03  0.29688E-04
 0.77250D+02   1.000000       10.00000       71.138       29.505     -0.11868E-02  -7.1138      -2.9504     -0.29157E-05   84.715       0.0000     -0.10314E+09   1.0000       0.0000      0.57932E-08   0.0000              NaN  0.45057E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.59376E-07   0.0000         Infinity          NaN  0.29689E-03  0.29689E-04
 0.77500D+02   1.000000       10.00000       71.024       29.483     -0.11865E-02  -7.1024      -2.9482     -0.29384E-05   84.590       0.0000     -0.10313E+09   1.0000       0.0000      0.63154E-08   0.0000              NaN  0.50592E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.66669E-07   0.0000         Infinity          NaN  0.29691E-03  0.29691E-04
 0.77750D+02   1.000000       10.00000       70.911       29.460     -0.11863E-02  -7.0911      -2.9459     -0.29612E-05   84.465       0.0000     -0.10312E+09   1.0000       0.0000      0.63467E-08   0.0000              NaN  0.50888E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.67060E-07   0.0000         Infinity          NaN  0.29692E-03  0.29692E-04
 0.78000D+02   1.000000       10.00000       70.797       29.437     -0.11861E-02  -7.0797      -2.9436     -0.29842E-05   84.340       0.0000     -0.10311E+09   1.0000       0.0000      0.61596E-08   0.0000              NaN  0.49025E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.64604E-07          NaN          NaN          NaN  0.29693E-03  0.29693E-04
 0.78249D+02   1.000000       10.00000       70.683       29.415     -0.11858E-02  -7.0683      -2.9414     -0.30073E-05   84.215       0.0000     -0.10311E+09   1.0000       0.0000      0.59660E-08   0.0000              NaN  0.44472E-08   0.0000      0.75885E-01  0.78886E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.58605E-07   0.0000         Infinity          NaN  0.29692E-03  0.29692E-04
